PČV,Typ,Stav,Kód STK,Název STK,Platnost od,Platnost do,Číslo protokolu,Aktuální
11873187,E - Evidenční,Nezjištěno,3219,"NÁM. SMIŘICKÝCH 16, 28163, KOSTELEC NAD ČERNÝMI LESY",2010-11-16,2010-11-16,,True
2003087,P - Pravidelná,A,3319,"HREJKOVICE 110, 39859, HREJKOVICE",2007-07-19,2009-07-19,,True
1380279,P - Pravidelná,A,3605,"VLČNOV 30, 53701, CHRUDIM",2007-08-22,2009-08-22,,True
11873187,P - Pravidelná,A,3219,"NÁM. SMIŘICKÝCH 16, 28163, KOSTELEC NAD ČERNÝMI LESY",2007-11-13,2008-11-13,,False
2833996,P - Pravidelná,A,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2005-04-22,2007-04-22,,True
5207949,E - Evidenční,Nezjištěno,3755,"DLOUHÁ BRTNICE 156, 58834, DLOUHÁ BRTNICE",2007-11-19,2007-11-19,,True
10131311,A - Pro nebezpečné látky,Nezjištěno,3812,"LOVĚŠICE 258/III, 75013, PŘEROV",2005-05-27,2006-05-27,,True
8884496,P - Pravidelná,A,3326,"DRUŽSTEVNÍ 335, 39801, MIROTICE",2010-07-14,2012-07-14,,True
8807198,P - Pravidelná,A,3237,"PRŮMYSLOVÁ 1851, 25801, VLAŠIM",2010-04-13,2012-04-13,,True
8817571,E - Evidenční,Nezjištěno,3512,"LIBERECKÁ 558, 47301, NOVÝ BOR",2004-07-07,2004-07-07,,True
5207949,P - Pravidelná,A,3755,"DLOUHÁ BRTNICE 156, 58834, DLOUHÁ BRTNICE",2009-02-10,2011-02-10,,True
406414,P - Pravidelná,A,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2004-03-08,2006-03-08,,True
10131311,P - Pravidelná,A,3812,"LOVĚŠICE 258/III, 75013, PŘEROV",2003-05-28,2004-05-28,,True
8208298,E - Evidenční,Nezjištěno,3519,"MRŠTÍKOVA 2, 46003, LIBEREC 3",2008-09-10,2008-09-10,,True
4141581,P - Pravidelná,A,3744,"NÁMĚSTÍ SVOBODY 578, 68604, KUNOVICE",2007-05-16,2009-05-16,,True
1380279,E - Evidenční,Nezjištěno,3605,"VLČNOV 30, 53701, CHRUDIM",2004-05-13,2004-05-13,,True
3956645,E - Evidenční,Nezjištěno,3605,"VLČNOV 30, 53701, CHRUDIM",2004-07-14,2004-07-14,,True
5662633,P - Pravidelná,A,3505,"U TEREZÍNSKÉ KŘIŽOVATKY 176, 41201, LITOMĚŘICE",2007-03-21,2011-03-21,,True
5723810,P - Pravidelná,A,3705,"682 01  VYŠKOV, SOCHOROVA 596",2003-07-28,2005-07-28,,True
9110794,E - Evidenční,Nezjištěno,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2006-10-25,2006-10-25,,True
5702263,P - Pravidelná,A,3755,"DLOUHÁ BRTNICE 156, 58834, DLOUHÁ BRTNICE",2009-06-23,2011-06-23,,True
8386829,E - Evidenční,Nezjištěno,3119,"VÝPADOVÁ 1559, 15300, PRAHA 5 - RADOTÍN",2008-10-13,2008-10-13,,True
7878501,Z - Na žádost provozovatele,Nezjištěno,3805,"BESKYDSKÁ 2299, 73802, FRÝDEK-MÍSTEK",2003-12-15,2003-12-15,,True
9881960,P - Pravidelná,A,3744,"NÁMĚSTÍ SVOBODY 578, 68604, KUNOVICE",2009-12-08,2011-12-08,,True
9933074,E - Evidenční,Nezjištěno,3737,"BORŠOVSKÁ 2622/91, 69701, NĚTČICE, KYJOV",2002-03-25,2002-03-25,,True
7135612,E - Evidenční,Nezjištěno,3505,"U TEREZÍNSKÉ KŘIŽOVATKY 176, 41201, LITOMĚŘICE",2003-07-07,2003-07-07,,True
4628566,E - Evidenční,Nezjištěno,3705,"682 01  VYŠKOV, SOCHOROVA 596",2003-04-03,2003-04-03,,True
7853808,E - Evidenční,Nezjištěno,3812,"LOVĚŠICE 258/III, 75013, PŘEROV",2004-07-21,2004-07-21,,True
6680814,E - Evidenční,Nezjištěno,3612,"PETRUSOVA 1658/2, 56802, SVITAVY - PŘEDMĚSTÍ",2009-09-14,2009-09-14,,True
8176921,P - Pravidelná,A,3837,"VELKÉ ALBRECHTICE 309, 74291, VELKÉ ALBRECHTICE",2007-05-21,2009-04-23,,True
5428023,P - Pravidelná,A,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2007-08-15,2009-08-15,,True
9160869,E - Evidenční,Nezjištěno,3755,"DLOUHÁ BRTNICE 156, 58834, DLOUHÁ BRTNICE",2008-12-15,2008-12-15,,True
8867705,E - Evidenční,Nezjištěno,3837,"VELKÉ ALBRECHTICE 309, 74291, VELKÉ ALBRECHTICE",2005-12-05,2005-12-05,,True
5442756,E - Evidenční,Nezjištěno,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2005-04-11,2005-04-11,,True
5593970,P - Pravidelná,A,3737,"BORŠOVSKÁ 2622/91, 69701, NĚTČICE, KYJOV",2005-08-08,2007-08-08,,True
8934009,E - Evidenční,Nezjištěno,3837,"VELKÉ ALBRECHTICE 309, 74291, VELKÉ ALBRECHTICE",2007-07-03,2007-07-03,,True
5687726,P - Pravidelná,A,3419,"CHRASTAVICE 111, 34401, DOMAŽLICE",2005-09-07,2007-09-07,,True
8369750,P - Pravidelná,A,3744,"NÁMĚSTÍ SVOBODY 578, 68604, KUNOVICE",2012-05-23,2014-05-23,,False
5190954,P - Pravidelná,A,3755,"DLOUHÁ BRTNICE 156, 58834, DLOUHÁ BRTNICE",2008-06-05,2010-06-05,,True
7928768,E - Evidenční,Nezjištěno,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2005-06-02,2005-06-02,,True
7497798,P - Pravidelná,A,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2004-06-04,2006-06-04,,True
7089172,P - Pravidelná,A,3755,"DLOUHÁ BRTNICE 156, 58834, DLOUHÁ BRTNICE",2007-07-13,2009-07-13,,True
7664602,P - Pravidelná,A,3605,"VLČNOV 30, 53701, CHRUDIM",2008-04-01,2010-04-01,,True
8693768,P - Pravidelná,A,3612,"PETRUSOVA 1658/2, 56802, SVITAVY - PŘEDMĚSTÍ",2008-11-24,2010-09-19,,True
5756513,P - Pravidelná,A,3805,"BESKYDSKÁ 2299, 73802, FRÝDEK-MÍSTEK",2008-07-28,2010-07-28,,True
9624501,P - Pravidelná,A,3744,"NÁMĚSTÍ SVOBODY 578, 68604, KUNOVICE",2007-02-08,2009-02-08,,True
9639273,P - Pravidelná,A,3737,"BORŠOVSKÁ 2622/91, 69701, NĚTČICE, KYJOV",2006-07-31,2008-07-30,,True
7664602,E - Evidenční,Nezjištěno,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2008-07-14,2008-07-14,,True
3981276,E - Evidenční,Nezjištěno,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2003-08-06,2003-08-06,,True
7542962,P - Pravidelná,A,3326,"DRUŽSTEVNÍ 335, 39801, MIROTICE",2008-04-19,2010-04-19,,True
4687176,P - Pravidelná,A,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2003-08-21,2005-08-21,,True
8573297,P - Pravidelná,Nezjištěno,370500002,ADMINISTRATIVNÍ OMEZENÍ-NOVÁ VOZIDLA,2012-06-12,2014-06-12,,False
2730773,P - Pravidelná,C,3705,"682 01  VYŠKOV, SOCHOROVA 596",2003-03-31,2003-03-31,,False
8560000,P - Pravidelná,C,3805,"BESKYDSKÁ 2299, 73802, FRÝDEK-MÍSTEK",2009-01-29,2009-01-29,,True
3981276,P - Pravidelná,A,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2002-11-22,2004-11-22,,True
1267513,P - Pravidelná,A,3737,"BORŠOVSKÁ 2622/91, 69701, NĚTČICE, KYJOV",2004-05-12,2006-05-12,,True
8882608,E - Evidenční,Nezjištěno,3319,"HREJKOVICE 110, 39859, HREJKOVICE",2007-08-18,2007-08-18,,True
10260411,P - Pravidelná,A,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2005-05-16,2007-05-16,,True
3287179,E - Evidenční,Nezjištěno,3755,"DLOUHÁ BRTNICE 156, 58834, DLOUHÁ BRTNICE",2008-04-09,2008-04-09,,True
3464090,E - Evidenční,Nezjištěno,3705,"682 01  VYŠKOV, SOCHOROVA 596",2003-09-23,2003-09-23,,True
10296097,P - Pravidelná,A,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2007-06-07,2009-06-07,,True
8371935,E - Evidenční,Nezjištěno,3319,"HREJKOVICE 110, 39859, HREJKOVICE",2004-01-05,2004-01-05,,True
8636275,E - Evidenční,Nezjištěno,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2007-04-23,2007-04-23,,True
4628577,P - Pravidelná,A,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2004-05-12,2006-05-12,,True
8371935,P - Pravidelná,A,3319,"HREJKOVICE 110, 39859, HREJKOVICE",2005-10-21,2007-10-21,,True
118470,P - Pravidelná,A,3737,"BORŠOVSKÁ 2622/91, 69701, NĚTČICE, KYJOV",2004-01-21,2006-01-21,,True
8646518,P - Pravidelná,A,3512,"LIBERECKÁ 558, 47301, NOVÝ BOR",2006-10-06,2008-09-15,,True
10296097,E - Evidenční,Nezjištěno,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2004-07-21,2004-07-21,,True
9673999,E - Evidenční,Nezjištěno,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2005-08-03,2005-08-03,,True
9777107,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2009-06-18,2011-06-18,,True
7591792,E - Evidenční,Nezjištěno,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2006-03-27,2006-03-27,,True
5057057,E - Evidenční,Nezjištěno,3732,"BRUMOVSKÁ 279, 76601, VALAŠSKÉ KLOBOUKY",2002-01-22,2002-01-22,,True
7676300,E - Evidenční,Nezjištěno,3517,"ŽELIVSKÉHO 4471/1, 46605, JABLONEC NAD NISOU - RÝNOVICE",2003-03-20,2003-03-20,,True
7709462,E - Evidenční,Nezjištěno,3113,"PODNIKATELSKÁ I 652, 19011, PRAHA - BĚCHOVICE",2004-03-16,2004-03-16,,True
9769055,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2006-06-01,2008-06-01,,True
9769968,P - Pravidelná,A,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2008-08-04,2010-08-04,,True
7591792,P - Pravidelná,A,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2005-02-07,2007-02-01,,True
5057057,P - Pravidelná,A,3732,"BRUMOVSKÁ 279, 76601, VALAŠSKÉ KLOBOUKY",2003-10-01,2005-10-01,,True
1273839,P - Pravidelná,A,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2004-02-04,2005-02-02,,True
7676300,P - Pravidelná,A,3517,"ŽELIVSKÉHO 4471/1, 46605, JABLONEC NAD NISOU - RÝNOVICE",2008-08-20,2010-08-20,,True
7536961,P - Pravidelná,A,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2008-04-08,2010-04-08,,True
853078,P - Pravidelná,A,3632,"POLIČSKÁ 1365, 53901, HLINSKO",2004-04-29,2006-04-29,,True
10430040,P - Pravidelná,A,3732,"BRUMOVSKÁ 279, 76601, VALAŠSKÉ KLOBOUKY",2007-06-08,2009-06-08,,True
7020751,P - Pravidelná,A,360700080,ADMINISTRATIVNÍ OMEZENÍ-NOVÉ VOZIDLO,2009-10-19,2013-10-19,,True
6315837,P - Pravidelná,A,3835,"NA KŘTALTĚ 2219/37, 78901, ZÁBŘEH",2010-07-19,2012-07-19,,True
7801285,P - Pravidelná,A,370400013,ADMINISTRATIVNÍ OMEZENÍ- NOVÁ VOZIDLA,2006-05-15,2010-05-15,,True
8853109,P - Pravidelná,A,3432,"Nádražní ulice 1302, 34201, Sušice",2009-12-10,2011-12-10,,True
5444209,P - Pravidelná,A,3213,"ZÁPSKÁ 2257, 25001, BRANDÝS NAD LABEM",2002-05-10,2004-05-10,,True
2963713,P - Pravidelná,A,3517,"ŽELIVSKÉHO 4471/1, 46605, JABLONEC NAD NISOU - RÝNOVICE",2003-08-19,2005-08-19,,True
4391922,P - Pravidelná,A,3113,"PODNIKATELSKÁ I 652, 19011, PRAHA - BĚCHOVICE",2006-09-12,2008-09-11,,True
4391922,P - Pravidelná,A,3113,"PODNIKATELSKÁ I 652, 19011, PRAHA - BĚCHOVICE",2003-08-27,2005-08-27,,False
10351811,E - Evidenční,Nezjištěno,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2009-05-04,2009-05-04,,True
8834383,P - Pravidelná,A,3100,"TÜRKOVA 1001/9, 14900, PRAHA 4, CHODOV",2009-05-06,2011-05-06,,True
2195080,P - Pravidelná,B,3732,"BRUMOVSKÁ 279, 76601, VALAŠSKÉ KLOBOUKY",2003-11-14,2005-11-14,,True
6113304,P - Pravidelná,B,3217,"MASARYKOVA 1432/34B, 26801, HOŘOVICE",2009-05-06,2009-06-05,,True
7364537,E - Evidenční,Nezjištěno,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2009-11-20,2009-11-20,,True
664488,E - Evidenční,Nezjištěno,3231,"PŘÍLEPSKÁ 1909, 252 63, ROZTOKY U PRAHY",2007-11-08,2007-11-08,,True
8834383,E - Evidenční,Nezjištěno,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2008-11-19,2008-11-19,,True
11736416,P - Pravidelná,A,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2007-12-04,2009-12-04,,True
7061452,P - Pravidelná,A,3217,"MASARYKOVA 1432/34B, 26801, HOŘOVICE",2009-05-19,2010-05-19,,True
9854765,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2009-05-26,2011-05-26,,True
9854765,E - Evidenční,Nezjištěno,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2006-05-17,2006-05-17,,True
9848678,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2009-05-18,2011-05-18,,True
8917495,E - Evidenční,Nezjištěno,3314,"PELHŘIMOVSKÁ 2940, 39002, TÁBOR",2002-01-02,2004-01-02,,True
9859391,P - Pravidelná,A,3213,"ZÁPSKÁ 2257, 25001, BRANDÝS NAD LABEM",2009-01-07,2010-12-10,,True
2551375,P - Pravidelná,A,3213,"ZÁPSKÁ 2257, 25001, BRANDÝS NAD LABEM",2006-02-07,2008-02-07,,True
2842598,P - Pravidelná,A,3517,"ŽELIVSKÉHO 4471/1, 46605, JABLONEC NAD NISOU - RÝNOVICE",2008-04-30,2010-04-30,,True
5299060,E - Evidenční,Nezjištěno,3113,"PODNIKATELSKÁ I 652, 19011, PRAHA - BĚCHOVICE",2003-07-03,2003-07-03,,True
2645746,P - Pravidelná,A,3732,"BRUMOVSKÁ 279, 76601, VALAŠSKÉ KLOBOUKY",2007-05-24,2009-05-24,,True
3149150,P - Pravidelná,A,6508,"440 01 LOUNY, RYBALKOVA 2128",2005-07-20,2009-07-20,,True
3256955,P - Pravidelná,A,3732,"BRUMOVSKÁ 279, 76601, VALAŠSKÉ KLOBOUKY",2008-04-22,2010-04-22,,True
5458924,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2009-06-29,2011-06-29,,True
7046550,E - Evidenční,Nezjištěno,3213,"ZÁPSKÁ 2257, 25001, BRANDÝS NAD LABEM",2008-07-30,2008-07-30,,True
3400748,P - Pravidelná,A,3617,"NUDVOJOVICKÁ 1681, 51101, TURNOV",2007-05-09,2009-05-09,,True
3968610,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2009-06-09,2009-10-22,,True
8888681,P - Pravidelná,A,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2010-05-24,2012-03-03,,True
2551375,E - Evidenční,Nezjištěno,3213,"ZÁPSKÁ 2257, 25001, BRANDÝS NAD LABEM",2006-10-30,2006-10-30,,True
2842598,E - Evidenční,Nezjištěno,3517,"ŽELIVSKÉHO 4471/1, 46605, JABLONEC NAD NISOU - RÝNOVICE",2003-11-18,2003-11-18,,True
5117980,P - Pravidelná,Nezjištěno,320900111,ADMINISTRATIVNÍ OMEZENÍ -NOVÁ VOZIDLA,2011-05-30,2015-05-30,,True
3759358,E - Evidenční,Nezjištěno,3617,"NUDVOJOVICKÁ 1681, 51101, TURNOV",2007-08-15,2007-08-15,,True
5441392,E - Evidenční,Nezjištěno,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2007-08-30,2007-08-30,,True
7046550,P - Pravidelná,A,3213,"ZÁPSKÁ 2257, 25001, BRANDÝS NAD LABEM",2009-06-16,2011-06-15,,True
5424231,E - Evidenční,Nezjištěno,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2005-07-01,2005-07-01,,True
6734847,P - Pravidelná,A,3631,"SOLNICE - JEŠTĚTICE 110, 51601, RYCHNOV NAD KNĚŽNOU",2007-06-04,2009-05-31,,True
3759358,P - Pravidelná,A,3617,"NUDVOJOVICKÁ 1681, 51101, TURNOV",2008-07-01,2010-07-01,,True
6530352,P - Pravidelná,A,3618,"BRATŘÍ ŠTEFANŮ 492, 50003, HRADEC KRÁLOVÉ",2006-08-14,2008-08-14,,True
5729683,P - Pravidelná,A,3231,"PŘÍLEPSKÁ 1909, 252 63, ROZTOKY U PRAHY",2010-09-13,2012-09-13,,True
4831574,P - Pravidelná,A,3213,"ZÁPSKÁ 2257, 25001, BRANDÝS NAD LABEM",2006-08-10,2008-08-10,,True
9792164,E - Evidenční,Nezjištěno,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2005-07-13,2005-07-13,,True
4628566,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2009-02-26,2011-02-26,,True
4773072,P - Pravidelná,A,3835,"NA KŘTALTĚ 2219/37, 78901, ZÁBŘEH",2007-07-25,2009-07-02,,True
4845473,P - Pravidelná,A,3514,"U OHARKY 3093, 43801, ŽATEC",2008-08-20,2010-08-20,,True
10056823,E - Evidenční,Nezjištěno,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2004-06-16,2004-06-16,,True
7853808,P - Pravidelná,A,3818,"HAMERSKÁ 883/58A, 77900, OLOMOUC",2010-01-11,2011-01-11,,True
4996365,P - Pravidelná,A,370400013,ADMINISTRATIVNÍ OMEZENÍ- NOVÁ VOZIDLA,2006-07-10,2010-07-10,,True
5034041,P - Pravidelná,A,3849,"17. LISTOPADU 2269, 73802, FRÝDEK-MÍSTEK",2007-06-21,2009-06-21,,True
9110794,P - Pravidelná,A,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2006-07-18,2008-07-18,,True
9875808,P - Pravidelná,A,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2002-04-15,2004-04-15,,True
9889287,P - Pravidelná,A,3617,"NUDVOJOVICKÁ 1681, 51101, TURNOV",2009-06-09,2011-06-09,,True
5198347,P - Pravidelná,A,3514,"U OHARKY 3093, 43801, ŽATEC",2007-07-03,2009-07-03,,True
8178404,E - Evidenční,Nezjištěno,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2008-09-23,2008-09-23,,True
4845473,E - Evidenční,Nezjištěno,3514,"U OHARKY 3093, 43801, ŽATEC",2008-06-11,2008-06-11,,True
8613247,P - Pravidelná,A,3514,"U OHARKY 3093, 43801, ŽATEC",2008-11-03,2010-11-03,,True
7830771,E - Evidenční,Nezjištěno,3417,"TEPELSKÁ 551/5, 35301, MARIÁNSKÉ LÁZNĚ - ÚŠOVICE",2005-05-30,2005-05-30,,True
5318377,E - Evidenční,Nezjištěno,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2006-08-11,2006-08-11,,True
9432960,P - Pravidelná,A,3732,"BRUMOVSKÁ 279, 76601, VALAŠSKÉ KLOBOUKY",2008-08-15,2010-08-15,,True
7810353,P - Pravidelná,A,3617,"NUDVOJOVICKÁ 1681, 51101, TURNOV",2007-02-02,2009-01-25,,True
8956775,P - Pravidelná,A,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2004-11-18,2006-11-18,,True
4819586,P - Pravidelná,A,3113,"PODNIKATELSKÁ I 652, 19011, PRAHA - BĚCHOVICE",2002-10-30,2004-10-30,,True
592063,P - Pravidelná,A,3617,"NUDVOJOVICKÁ 1681, 51101, TURNOV",2004-01-06,2006-01-06,,True
7157014,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2009-05-12,2010-05-12,,True
5318377,P - Pravidelná,A,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2007-02-06,2009-02-06,,True
5476075,P - Pravidelná,A,3835,"NA KŘTALTĚ 2219/37, 78901, ZÁBŘEH",2007-10-10,2009-10-10,,True
5533713,P - Pravidelná,A,3618,"BRATŘÍ ŠTEFANŮ 492, 50003, HRADEC KRÁLOVÉ",2007-09-26,2009-08-03,,True
4391922,P - Pravidelná,C,3113,"PODNIKATELSKÁ I 652, 19011, PRAHA - BĚCHOVICE",2006-09-11,2006-09-11,,True
9626650,P - Pravidelná,B,3732,"BRUMOVSKÁ 279, 76601, VALAŠSKÉ KLOBOUKY",2008-10-29,2010-10-29,,True
10571194,P - Pravidelná,A,3735,"BRNĚNSKÁ 1242, 66501, ROSICE",2005-07-14,2006-09-09,,True
9919438,E - Evidenční,Nezjištěno,3414,"FÜGNEROVA 404, 33601, BLOVICE",2009-02-23,2009-02-23,,True
5533713,E - Evidenční,Nezjištěno,3618,"BRATŘÍ ŠTEFANŮ 492, 50003, HRADEC KRÁLOVÉ",2004-07-01,2004-07-01,,True
5704932,E - Evidenční,Nezjištěno,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2004-06-01,2004-06-01,,True
10842320,P - Pravidelná,A,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2008-08-12,2010-08-12,,True
5648106,P - Pravidelná,A,3717,"NÁDRAŽNÍ 389, 67167, HRUŠOVANY NAD JEVIŠOVKOU",2005-08-16,2007-08-16,,True
5606486,P - Pravidelná,A,3835,"NA KŘTALTĚ 2219/37, 78901, ZÁBŘEH",2003-12-01,2005-12-01,,False
7579712,P - Pravidelná,A,3517,"ŽELIVSKÉHO 4471/1, 46605, JABLONEC NAD NISOU - RÝNOVICE",2006-09-18,2008-09-12,,True
5754305,P - Pravidelná,A,3832,"ZA SPLAVEM 884, 73401, KARVINÁ",2005-08-03,2007-08-03,,True
6897068,P - Pravidelná,A,3114,"NAD VRŠOVSKOU HOROU 88/4, 10100, PRAHA 10",2007-12-05,2009-12-05,,True
